web-scraper-order,web-scraper-start-url,mom_value,mom_sign
"1701698397-325","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","3.90%","changePercentage positive"
"1701698397-326","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","3.69%","changePercentage positive"
"1701698397-327","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","0.43%","changePercentage positive"
"1701698397-328","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","6.60%","changePercentage positive"
"1701698397-329","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","0.64%","changePercentage negative"
"1701698397-330","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","2.20%","changePercentage positive"
"1701698397-331","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","8.67%","changePercentage positive"
"1701698397-332","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","4.60%","changePercentage negative"
"1701698397-333","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","17.63%","changePercentage positive"
"1701698397-334","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","11.21%","changePercentage positive"
"1701698397-335","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","3.06%","changePercentage positive"
"1701698397-336","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","4.89%","changePercentage positive"
"1701698397-337","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","27.13%","changePercentage positive"
"1701698397-338","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","1.03%","changePercentage positive"
"1701698397-339","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","3.01%","changePercentage negative"
"1701698397-340","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","4.13%","changePercentage negative"
"1701698397-341","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","8.30%","changePercentage positive"
"1701698397-342","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","3.47%","changePercentage positive"
"1701698397-343","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","7.72%","changePercentage negative"
"1701698397-344","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","3.85%","changePercentage negative"
"1701698397-345","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","5.83%","changePercentage positive"
"1701698397-346","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","28.50%","changePercentage negative"
"1701698397-347","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","76.65%","changePercentage positive"
"1701698397-348","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","3.58%","changePercentage positive"
"1701698397-349","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","4.54%","changePercentage positive"
"1701698397-350","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","0.62%","changePercentage negative"
"1701698397-351","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","4.09%","changePercentage negative"
"1701698397-352","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","1.97%","changePercentage positive"
"1701698397-353","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","3.19%","changePercentage positive"
"1701698397-354","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","5.78%","changePercentage positive"
"1701698397-355","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","4.63%","changePercentage positive"
"1701698397-356","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","12.79%","changePercentage positive"
"1701698397-357","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","8.71%","changePercentage negative"
"1701698397-358","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","8.64%","changePercentage negative"
"1701698397-359","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","7.18%","changePercentage positive"
"1701698397-360","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","2.12%","changePercentage positive"
"1701698397-361","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","6.53%","changePercentage positive"
"1701698397-362","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","11.28%","changePercentage positive"
"1701698397-363","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","8.64%","changePercentage positive"
"1701698397-364","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","37.70%","changePercentage positive"
"1701698397-365","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","2.93%","changePercentage positive"
"1701698397-366","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","10.71%","changePercentage negative"
"1701698397-367","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","5.02%","changePercentage positive"
"1701698397-368","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","3.89%","changePercentage negative"
"1701698397-369","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","8.49%","changePercentage positive"
"1701698397-370","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","2.56%","changePercentage negative"
"1701698397-371","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","2.74%","changePercentage positive"
"1701698397-372","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","104.95%","changePercentage positive"
"1701698397-373","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","34.17%","changePercentage positive"
"1701698397-374","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","12.32%","changePercentage positive"
"1701698397-375","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","16.03%","changePercentage positive"
"1701698397-376","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","8.35%","changePercentage negative"
"1701698397-377","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","2.94%","changePercentage positive"
"1701698397-378","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","2.98%","changePercentage negative"
"1701698397-379","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","1.00%","changePercentage positive"
"1701698397-380","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","2.30%","changePercentage negative"
"1701698397-381","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","0.72%","changePercentage negative"
"1701698397-382","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","2.55%","changePercentage negative"
"1701698397-383","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","3.93%","changePercentage positive"
"1701698397-384","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","3.78%","changePercentage positive"
"1701698397-385","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","22.60%","changePercentage positive"
"1701698397-386","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","9.93%","changePercentage positive"
"1701698397-387","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","9.85%","changePercentage positive"
"1701698397-388","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","3.08%","changePercentage negative"
"1701698397-389","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","4.17%","changePercentage positive"
"1701698397-390","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","5.15%","changePercentage positive"
"1701698397-391","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","2.08%","changePercentage negative"
"1701698397-392","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","21.28%","changePercentage positive"
"1701698397-393","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","10.29%","changePercentage positive"
"1701698397-394","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","12.15%","changePercentage positive"
"1701698397-395","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","7.97%","changePercentage positive"
"1701698397-396","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","20.57%","changePercentage negative"
"1701698397-397","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","2.32%","changePercentage negative"
"1701698397-398","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","26.84%","changePercentage positive"
"1701698397-399","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","5.22%","changePercentage positive"
"1701698397-400","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","6.54%","changePercentage negative"
"1701698397-401","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","1.44%","changePercentage positive"
"1701698397-402","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","11.23%","changePercentage positive"
